722,954,3.0,-1
5172,581,4.0,-1
3103,812,1.5,-1
5435,809,3.5,-1
3995,121,4.0,-1
5382,280,4.0,-1
2574,120,4.5,-1
713,5503,2.0,-1
3420,98,3.5,-1
2131,107,3.0,-1
4893,8467,4.0,-1
3971,38,1.0,-1
3696,680,4.0,-1
1101,1894,4.0,-1
226,2501,4.0,-1
2240,672,3.5,-1
5221,153,4.0,-1
5095,854,4.0,-1
1285,268,4.5,-1
4340,745,5.0,-1
4136,275,3.0,-1
3505,550,4.0,-1
4199,812,2.0,-1
1148,122,5.0,-1
1262,607,4.0,-1
1104,329,4.0,-1
4132,680,1.0,-1
5351,2501,5.0,-1
4020,155,4.5,-1
1160,680,5.0,-1
4618,585,4.0,-1
2467,607,4.5,-1
1996,453,5.0,-1
4427,462,3.0,-1
837,788,5.0,-1
4462,63,4.5,-1
3188,2164,2.5,-1
351,601,4.0,-1
4088,121,3.0,-1
2722,550,1.0,-1
2198,36955,3.0,-1
5096,280,4.5,-1
4895,629,2.0,-1
5116,1597,2.5,-1
2814,788,3.5,-1
1297,141,1.0,-1
2711,153,5.0,-1
4571,597,3.5,-1
4694,161,4.0,-1
330,329,4.0,-1
3439,954,5.0,-1
1797,1572,3.0,-1
4774,1900,3.5,-1
2674,146,3.5,-1
3237,672,2.0,-1
2059,134,4.0,-1
3591,857,5.0,-1
16,602,3.5,-1
5162,4327,3.0,-1
3535,120,4.5,-1
3332,121,4.0,-1
384,854,3.0,-1
883,4327,3.5,-1
184,550,5.0,-1
1844,745,5.0,-1
1298,155,4.0,-1
4645,13,5.0,-1
2148,602,2.0,-1
163,11,3.0,-1
2639,672,4.0,-1
2456,2501,4.5,-1
5454,161,2.5,-1
1741,568,4.0,-1
3488,12,5.0,-1
224,393,1.0,-1
1612,114,5.0,-1
1558,280,3.0,-1
5477,629,3.0,-1
2977,194,4.5,-1
3675,161,4.0,-1
2544,24,1.0,-1
4570,36657,3.0,-1
3339,1894,3.5,-1
4867,24,3.5,-1
5337,194,5.0,-1
3124,197,2.5,-1
3682,424,3.0,-1
616,134,3.5,-1
4841,862,3.0,-1
2417,1572,1.5,-1
4587,862,5.0,-1
4350,2501,3.5,-1
5052,393,5.0,-1
2393,146,3.0,-1
1105,197,5.0,-1
1985,1422,5.0,-1
5365,38,4.5,-1
3447,141,1.0,-1
1296,671,4.5,-1
1057,12,3.0,-1
208,1891,5.0,-1
2683,275,4.0,-1
869,393,3.0,-1
773,1900,3.0,-1
3680,9806,0.5,-1
4310,146,4.0,-1
2906,393,3.5,-1
3418,146,1.0,-1
1478,107,4.5,-1
3708,1892,5.0,-1
3829,13,3.0,-1
525,329,4.0,-1
1152,10020,2.5,-1
5384,680,5.0,-1
1992,9331,2.5,-1
5285,607,3.0,-1
5422,1891,4.0,-1
1821,954,4.0,-1
1065,155,3.5,-1
2384,1422,5.0,-1
2903,453,3.0,-1
2682,2502,5.0,-1
3147,36657,3.0,-1
2897,1637,5.0,-1
4237,857,4.0,-1
2482,8467,2.0,-1
30,597,4.0,-1
3888,2024,3.0,-1
2026,120,5.0,-1
3166,664,2.5,-1
2026,585,5.0,-1
1365,278,3.5,-1
866,557,3.5,-1
2157,453,4.0,-1
437,857,4.5,-1
3216,812,3.0,-1
4576,812,3.5,-1
4026,550,5.0,-1
5112,557,3.5,-1
3629,22,4.0,-1
1262,603,4.0,-1
3526,807,4.0,-1
1917,607,5.0,-1
1173,274,3.0,-1
57,603,4.5,-1
2861,2501,5.0,-1
3634,807,4.0,-1
5267,2164,2.0,-1
1997,9806,4.0,-1
3444,752,2.5,-1
331,1894,5.0,-1
384,187,1.5,-1
4762,954,3.0,-1
4356,114,1.0,-1
4854,105,4.0,-1
4388,812,4.0,-1
2493,180,5.0,-1
5227,63,3.0,-1
3119,22,5.0,-1
1332,597,4.0,-1
1531,2502,4.5,-1
